fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,tasa_variacion,media_movil_7d,retorno_acumulado,desviacion_total
2007-11-13,36.02,41.6,35.35,41.06,39.79,329.6,2.293617230489825,0.16714042069357604,39.847142857142856,0.44070175438596504,233.03236943430136
2007-11-14,45.0,46.86,41.5,43.19,41.85,442.8,3.288893430927773,0.05187530443253774,39.79857142857143,0.5154385964912283,233.03236943430136
2007-11-15,43.33,47.7,42.33,46.44,45.0,618.8,4.61302287009288,0.0752489002083816,39.93571428571429,0.6294736842105266,233.03236943430136
2007-11-16,46.54,47.2,43.71,46.51,45.07,379.9,4.683292645137613,0.0015073212747631626,40.951428571428565,0.6319298245614038,233.03236943430136
2007-11-19,46.03,47.05,44.02,44.69,43.3,249.4,2.3084128746825545,-0.03913136959793595,41.97571428571428,0.5680701754385966,233.03236943430136
2007-11-20,45.15,46.11,43.0,43.62,42.27,226.3,1.5467546670368302,-0.02394271649138513,42.955714285714286,0.5305263157894737,233.03236943430136
2007-11-21,42.6,43.0,40.34,41.2,39.92,111.2,2.208159867400951,-0.05547913801008697,43.815714285714286,0.4456140350877196,233.03236943430136
2007-11-23,40.26,42.52,40.01,42.36,41.05,119.0,2.057019688773089,0.028155339805825186,44.00142857142857,0.4863157894736845,233.03236943430136
2007-11-26,42.58,43.11,41.0,41.17,39.89,126.8,1.5387234969285635,-0.028092540132200083,43.712857142857146,0.4445614035087724,233.03236943430136
2007-11-27,41.72,42.3,41.0,41.12,39.85,156.5,1.0955729094861866,-0.0012144765606024732,42.952857142857134,0.44280701754385987,233.03236943430136
2007-11-28,41.25,43.61,40.61,43.61,42.26,277.4,1.0916363863485088,0.06055447470817121,42.53857142857142,0.5301754385964914,233.03236943430136
2007-11-29,43.5,44.0,42.15,43.0,41.67,96.9,1.1031183073451618,-0.013987617518917639,42.29714285714285,0.5087719298245617,233.03236943430136
2007-11-30,43.5,43.77,42.25,42.41,41.1,191.8,1.1045677887753451,-0.01372093023255827,42.12428571428571,0.48807017543859654,233.03236943430136
2007-12-03,44.11,45.84,44.04,44.71,43.32,526.0,1.3392348561772507,0.054232492336713234,42.62571428571429,0.5687719298245617,233.03236943430136
2007-12-04,45.62,45.62,42.81,43.36,42.02,337.9,0.851510422719606,-0.030194587340639734,42.76857142857143,0.52140350877193,233.03236943430136
2007-12-05,44.85,45.6,43.57,44.24,42.87,254.5,0.9300161288924662,0.02029520295202958,43.207142857142856,0.5522807017543863,233.03236943430136
2007-12-06,44.24,44.5,43.26,44.03,42.66,259.7,0.8927205609820674,-0.004746835443038,43.62285714285714,0.5449122807017546,233.03236943430136
2007-12-07,44.3,44.91,43.35,43.77,42.41,109.6,0.5056382105815821,-0.005905064728594089,43.64571428571429,0.5357894736842108,233.03236943430136
2007-12-10,44.1,50.49,44.0,49.97,48.42,857.2,2.756561263603656,0.14164953164267757,44.64142857142857,0.7533333333333336,233.03236943430136
2007-12-11,49.68,50.0,47.03,47.49,46.02,657.5,2.7332398357993055,-0.04962977786671996,45.36714285714286,0.6663157894736846,233.03236943430136
2007-12-12,48.88,53.92,48.63,50.8,49.23,649.7,3.2607545139124245,0.06969888397557367,46.237142857142864,0.7824561403508774,233.03236943430136
2007-12-13,50.61,54.73,49.98,53.63,51.97,353.0,3.7136127961865264,0.055708661417323,47.70428571428572,0.8817543859649128,233.03236943430136
2007-12-14,59.5,65.46,57.52,61.55,59.64,,5.417418204274098,0.14767853813164256,50.17714285714286,1.1596491228070178,233.03236943430136
2007-12-17,66.66,66.66,58.4,60.34,58.47,,6.063247479692748,-0.019658813972380118,52.50714285714286,1.1171929824561406,233.03236943430136
2007-12-18,61.95,62.39,56.36,59.68,57.83,,4.707371878235302,-0.010938017898574848,54.779999999999994,1.0940350877192984,233.03236943430136
2007-12-19,59.25,60.43,57.96,59.9,58.04,720.3,3.0986045246208165,0.003686327077748075,56.19857142857143,1.1017543859649126,233.03236943430136
2007-12-20,60.99,61.88,58.62,60.47,58.6,655.4,0.7243410798792536,0.009515859766277224,58.05285714285714,1.1217543859649126,233.03236943430136
2007-12-21,61.81,62.0,59.26,60.06,58.2,610.4,0.32093613071861893,-0.006780221597486258,59.37571428571429,1.107368421052632,233.03236943430136
2007-12-24,60.7,61.77,59.17,60.4,58.53,366.1,0.3334966266705527,0.00566100566100558,60.34285714285714,1.1192982456140355,233.03236943430136
2007-12-26,60.84,72.96,60.45,72.85,70.59,,5.658809945562818,0.20612582781456945,61.957142857142856,1.5561403508771932,233.03236943430136
2007-12-27,72.65,81.17,72.0,75.3,72.97,,7.590581664141473,0.03363074811256017,64.0942857142857,1.6421052631578954,233.03236943430136
2007-12-28,80.73,80.74,77.07,78.81,76.37,,8.710064867726349,0.04661354581673316,66.82714285714285,1.7652631578947378,233.03236943430136
2007-12-31,78.0,78.98,72.7,73.88,71.59,,6.995989565458261,-0.06255551325973874,68.82428571428571,1.5922807017543863,233.03236943430136
2008-01-02,75.98,76.81,68.0,70.1,67.93,,3.2092164152641556,-0.05116404981050349,70.2,1.459649122807018,233.03236943430136
2008-01-03,72.79,72.82,68.81,69.44,67.29,,3.8608263364208564,-0.00941512125534949,71.53999999999999,1.4364912280701758,233.03236943430136
2008-01-04,66.48,67.85,63.17,64.09,62.1,,5.4757127389957905,-0.07704493087557596,72.06714285714285,1.2487719298245619,233.03236943430136
2008-01-07,66.16,66.77,58.46,61.37,59.47,,5.0013028302633895,-0.04244031830238737,70.42714285714285,1.1533333333333338,233.03236943430136
2008-01-08,62.5,65.49,60.5,61.1,59.21,,4.3213597397116175,-0.004399543751018364,68.39857142857143,1.1438596491228075,233.03236943430136
2008-01-09,60.07,61.36,56.58,60.68,58.8,,3.6656009057179615,-0.006873977086743088,65.80857142857143,1.129122807017544,233.03236943430136
2008-01-10,59.64,65.98,58.68,64.06,62.07,,1.6750373130173146,0.05570204350692154,64.40571428571428,1.2477192982456144,233.03236943430136
2008-01-11,63.43,67.5,61.02,62.6,60.66,,1.3734700579190795,-0.022791133312519474,63.33428571428572,1.196491228070176,233.03236943430136
2008-01-14,64.41,65.0,62.66,64.71,62.7,742.6,1.768869695596679,0.0337060702875398,62.65857142857143,1.270526315789474,233.03236943430136
2008-01-15,63.91,66.0,59.8,59.98,58.12,835.0,2.058295411256673,-0.07309534847782406,62.07142857142857,1.1045614035087725,233.03236943430136
2008-01-16,57.28,59.25,50.98,54.23,52.55,,4.257162200339587,-0.0958652884294765,61.05142857142857,0.9028070175438601,233.03236943430136
2008-01-17,54.4,55.49,43.42,45.41,44.0,,7.761129428118047,-0.16264060483127418,58.81,0.5933333333333337,233.03236943430136
2008-01-18,48.46,49.07,45.2,47.05,45.59,,8.249653326049511,0.0361153930852236,56.86285714285714,0.6508771929824566,233.03236943430136
2008-01-22,40.39,49.47,40.16,47.71,46.23,,6.0965383620542895,0.014027630180659001,54.527142857142856,0.6740350877192989,233.03236943430136
2008-01-23,45.97,50.74,44.5,50.02,48.47,,3.4161645159446734,0.048417522531964075,52.73,0.7550877192982466,233.03236943430136
